fff,name,countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,CFR.low,CFR.high,cases_per_year,GROUP,TYPE,Modelled_as,notes,amplified,h2h,Vector,sporadic.endemic,%_cases_modelled,cases_per_yearx,spillover_rate_outbreaks,outbreaks_per_year,cases_per_year,Ecoregion,Eco_code,Continent,continent_code,Location,first.date,R0,R0_ref,total_area,total_pop_at_risk,mean_lon,mean_lat,Incubation.low,Incubation.high,acute_low,acute_high,CFR.low,CFR.high,proportion.of.recovered.that.are.immmune,X..chronic.carrier,Chronicduration_low,Chronicduration_high,chronic.morbidity,Convalescence_length...non.infectious.recovery,reference,notes,reference,test1
77,dobrava belgrade,"RU,DK,DE,LT,LV,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,MK",hantavirus,hantavirus,Hemorrhagic Fever with Renal Syndrome,"apodemus agrarius,apodemus flavicollis,apodemus ponticus",mammalia,,,,,HOST->HUMAN,10,10,20000,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,0.0000586,,20000,TE,2,"EU,AS","3,5","RU,DK,DE,LT,LV,CZ,SL,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,MK",,0,,1791052,341456144,21.07122222,46.3205,14,14,3,3,10,10,100,0,0,0,0,42,Werthiem,,Werthiem,63
78,saarema,"DK,DE,LT,LV,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,MK",hantavirus,hantavirus,Hemorrhagic Fever with Renal Syndrome,apodemus agrarius,mammalia,,,,,HOST->HUMAN,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://jcm.asm.org/content/44/4/1608.short,195
79,hendra,AU,paramyxoviridae,paramyxoviridae,Hendra virus,pteropus,mammalia,,,,,HOST->HUMAN,10,75,15,VIRUS,HOST->HUMAN,H,,horses,no,N,SPORADIC,100,15,6.81E-08,,15,TR,1,AS,5,AU,,0,,768230,220310208,136.189,-24.973,4,45,10,10,10,75,100,0,0,0,0,14,Werthiem,,Werthiem,85
80,rickettsia conorii indica,"IN,PK",bacteria,rickettsia,Indian tick typhus,rhipicephalus sanguineus,invert,,,,,HOST->HUMAN,3,3,32.45454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.atmph.org/article.asp?issn=1755-6783;year=2014;volume=7;issue=6;spage=249;epage=254;aulast=Dasari,180
81,rickettsia conorii isralensis,"PT,IT,IL",bacteria,rickettsia,Israeli spotted fever,rhipicephalus sanguineus,invert,,,,,HOST->HUMAN,3,3,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cid.oxfordjournals.org/content/29/5/1321.full,181
82,japanese encephalitis,"MM,TH,LA,KH,VN,MY,PH,BN,IN,NP,BT,PK,CN,KR,KP,TW,JP,PG,AU,TL",flavivirus ,flavivirus ,Japanese Encephalitis,"bubulcus,ardea,egretta,gorsachius,nycticorax,ardeola,ixobrychus,botaurus",aves,,,"culex gelidus,culex tritaenorhynchus,culex vishnui",,HOST->VECTOR->HUMAN,20,20,42500,VIRUS,HOST->VECTOR->HUMAN,HV,YES -but ardaeidae!,pigs,no,Y,ENDEMIC,100,42500,0.0000139,,42500,TR,1,"AS,AU","5,6","MM,TH,LA,KH,VN,MY,PH,BN,IN,NP,BT,PK,CN,KR,KP,TW,JP,PG,AU,TL",,0,,2452841,3066029283,109.92335,17.5017,6,16,14,14,20,20,100,0,5000,5000,50,14,Werthiem,,Werthiem,97
83,rickettsia japonica,JP,bacteria,rickettsia,Japanese spotted fever,"haemaphysalis flava,haemaphysalis hystericis",invert,,,,,HOST->HUMAN,0,0,2.941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://wwwnc.cdc.gov/eid/article/3/2/97-0203_article,184
84,lassa,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD",arenavirus ,arenavirus ,Lassa Fever,mastomys natalensis,mammalia,,,,,HOST->HUMAN->HUMAN,11,69,50000,VIRUS,HOST->HUMAN->HUMAN,H,,0,yes,N,ENDEMIC,100,300000,1.91E-08,6.655737705,50000,TR,1,AF,4,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD",1969,0.74,lo iancono 2015 pntds,1264397,348923019,3.414409091,8.947,6,21,14,14,11,69,100,80,14,14,20,14,http://www.ncbi.nlm.nih.gov/pubmed/11590670,,http://www.ncbi.nlm.nih.gov/pubmed/11590670,107
85,mycobacterium leprae,"BR,LR,KM,NP,PG,PW,FM,MH",bacteria,mycobacterium,Leprosy,dasypus novemcinctus,mammalia,humans,human,,,HOST->HUMAN->HUMAN,0,0,213899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.who.int/mediacentre/factsheets/fs101/en/,140
86,leptospira spp,"US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO",bacteria,leptospira,Leptospirosis,"apodemus,micromys minutus,rattus,mephitis,procyon,cattle,pigs,equus",mammalia,,,,,HOST->HUMAN,5.6,5.6,1030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003898,119
87,loa loa,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD",parasite,loa,Loiasis,human,human,,,"semisulcospira,chrysops silacea,chrysops dimidiatus,chrysops distinctipennis,chrysops centurionis,chrysops longicornis",,HUMAN->VECTOR->HUMAN,0,0,12500000,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,12500000,0.035824521,,12500000,TR,1,AF,"4,5","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD",,0,,1264397,348923019,3.414409091,8.947,120,1000,0,0,0,0,0,100,300,300,10,14,Werthiem,"forested and muddy habitats like swamps, streams, reservoirs, and in rotting vegetation. 785-3,682 flies/ km2. Med Vet Entomol. 2000 Sep;14(3):339-44. Density and dispersal of the loaiasis vector Chrysops dimidiata in southern Cameroon. Chippaux J-P1, Bouchité B, Demanou M, Morlais I, Le Goff G.",Werthiem,121
88,borrelia burgdorferi,"US,CA,MX",bacteria,borrelia,Lyme disease,"peromyscus leucopus,tamias striatus,blarina brevicauda,sorex cinereus,sciurus carolinensis,sciurus griseus",mammalia,,,"ixodes pacificus,ixodes persculatus,ixodes pacificus ,ixodes persulcaus,ixodes ricinus,ixodes scapularis",,HOST->VECTOR->HUMAN,9.50E-05,9.50E-05,30000,BACTERIA,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,,no,Y,ENDEMIC,100,938721.162,0.001,,938721.162,TE,2,"NthA,EU","1,3","US,CA,MX,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,ET,LT,LV,NO,SE,FI",,0,,2618449,938721162,5.257088235,45.74967647,3,32,0,0,0,0,0,60,30,720,15,0,Werthiem,,"ref: http://cid.oxfordjournals.org/content/52/3/364.full; Salkeld DJ,Leonhard S,Girard YA,et al. Identifying the Reservoir Hosts of the Lyme Disease Spirochete Borrelia burgdorferi in California: The Role of the Western Gray Squirrel (Sciurus griseus). The American jourl of tropical medicine and hygiene. 2008;79(4):535-540.",36
89,borrelia afzelii,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,RU,MN,JP,CN",bacteria,borrelia,Lyme disease,"myodes rufocanus,myodes rutilus,apodemus speciosus,lepus timidus",mammalia,,,ixodes persculatus,,HOST->VECTOR->HUMAN,0,0,30000,BACTERIA,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,,no,Y,ENDEMIC,100,938721.162,0.001,,938721.162,TE,2,"NthA,EU","1,3","US,CA,MX,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,ET,LT,LV,NO,SE,FI",,0,,2618449,938721162,5.257088235,45.74967647,3,32,0,0,0,0,0,60,30,720,15,0,Werthiem,,ref: http://www.euro.who.int/__data/assets/pdf_file/0006/96819/E89522.pdf; http://www.ncbi.nlm.nih.gov/pubmed/1644364,35
90,borrelia garinii,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD",bacteria,borrelia,Lyme disease,"sus scrofa,capreolus capreolus,cervus elaphus",mammalia,"cattle,pigs,sheep,goats",domestic,ixodes ricinus,,HOST->VECTOR->HUMAN,0,0,30000,BACTERIA,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,,no,Y,ENDEMIC,100,938721.162,0.001,,938721.162,TE,2,"NthA,EU","1,3","US,CA,MX,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,ET,LT,LV,NO,SE,FI",,0,,2618449,938721162,5.257088235,45.74967647,3,32,0,0,0,0,0,60,30,720,15,0,Werthiem,,ref: http://www.euro.who.int/__data/assets/pdf_file/0006/96819/E89522.pdf; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3933768/,39
91,plasmodium falciparum,"AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",parasite,plasmodium,Malaria,human,human,,,anopheles,,HUMAN->VECTOR->HUMAN->HUMAN,20,20,499999987.1,PARASITE,HUMAN->VECTOR->HUMAN->HUMAN,V_H,,0,rare,Y,ENDEMIC,100,499999987.1,0.15028798,,499999987.1,TR,1,"NthA,SA,AF,AS,AU","1,2,4,5,6","AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",,0,,5794003,3326945955,8.14863871,7.764832258,7,15,7,7,20,20,5,90,900,900,10,14,http://www.cdc.gov/malaria/about/biology/human_factors.html,,http://www.cdc.gov/malaria/about/biology/human_factors.html,163
92,plasmodium vivax,"AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",parasite,plasmodium,Malaria,human,human,,,anopheles,,HUMAN->VECTOR->HUMAN,1,1,2.65E+08,PARASITE,HUMAN->VECTOR->HUMAN->HUMAN,V_H,,0,rare,Y,ENDEMIC,100,265000000,0.15720123,,265000000,TR,1,"NthA,SA,AF,AS,AU","1,2,4,5,6","AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",,0,,5794003,3326945955,8.14863871,7.764832258,12,90,7,7,1,1,5,90,1200,1200,5,14,http://www.cdc.gov/malaria/about/biology/human_factors.html,,http://www.cdc.gov/malaria/about/biology/human_factors.html,166
93,plasmodium ovale,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SO,ET,KE,UG,TZ,BI,RW,MM,TH,LA,KH,VN,MY,PH,BN,IN,LK",parasite,plasmodium,Malaria,human,human,,,anopheles,,HUMAN->VECTOR->HUMAN,1,1,15000009.22,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,15000009.22,0.00738604,,15000009.22,TR,1,"AF,AS,AU","4,5,6","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SO,ET,KE,UG,TZ,BI,RW,MM,TH,LA,KH,VN,MY,PH,BN,IN,LK",,0,,2154255,2030859462,34.27510256,8.903282051,12,20,7,7,1,1,5,90,600,600,5,14,"Sutherland CJ, Tanomsing N, Nolder D, Oguike M, Jennison C, et al. (2010) Two nonrecombining sympatric forms of the human malaria parasite Plasmodium ovale occur globally. J Infect Dis 201: 1544–155;http://www.cdc.gov/malaria/about/biology/human_factors.html",,"Sutherland CJ,Tanomsing N,Nolder D,Oguike M,Jennison C,et al. (2010) Two nonrecombining sympatric forms of the human malaria parasite Plasmodium ovale occur globally. J Infect Dis 201: 1544–155;http://www.cdc.gov/malaria/about/biology/human_factors.html",165
94,plasmodium knowlesi,"MM,TH,LA,KH,VN,MY,PH,BN",parasite,plasmodium,Malaria,"macaca,presbytis femoralis",mammalia,,,"anopheles hackeri,anopheles latens,anopheles cracens",,HOST->VECTOR->HUMAN->VECTOR->HUMAN,3,3,54,PARASITE,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HV,NO - macaca??,0,no,Y,ENDEMIC,100,,,,,TR,1,AS,5,"MM,TH,LA,KH,VN,MY,PH,BN",,0,,253324,321113697,106.06075,13.914375,12,12,7,7,3,3,5,90,900,900,5,14,http://www.cdc.gov/malaria/about/biology/human_factors.html,,http://cid.oxfordjournals.org/content/52/11/1356.long,164
95,menangle,AU,paramyxoviridae,paramyxoviridae,managle,pteropus,mammalia,pigs,domestic,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wikipedia: Illness lasts for 10-14 days; fever; chills; rigors; drenching sweats; malaise; headache; red spotty rash. Amplified by pigs. Ref:http://www.scahls.org.au/Procedures/Documents/ANZSDP/menangle_virus.pdf,130
96,ravn,"AO,CD,KE,UG,ZM,ZA",filovirus,filovirus,Marburg virus,rousettus aegyptiacus,mammalia,,,,,HOST->HUMAN,83,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses 2012, 4, 1878-1927; doi:10.3390/v4101878 ",173
97,marburg,"AO,CD,KE,UG,ZM,ZA",filovirus,filovirus,Marburg virus,rousettus aegyptiacus,mammalia,,,,,HOST->HUMAN->HUMAN,83,90,0.170212766,VIRUS,HOST->HUMAN->HUMAN,H,,0,yes,N,SPORADIC,100,8.333333333,8.56E-10,0.170212766,0.170212766,TR,1,AF,4,"AO,CD,KE,UG,ZM,ZA",1967,0.93,"Borchert et al. Emerging Infectious Diseases • www.cdc.gov/eid • Vol. 12, No. 3, March 2006",623785,198798874,26.81383333,-9.755666667,2,21,3,15,83,90,100,0,0,0,0,90,http://www.nejm.org/doi/full/10.1056/NEJMc1300266,,http://www.nejm.org/doi/full/10.1056/NEJMc1300266,128
98,mayaro,"PE,VE,TT,SR,GF,BR,BO",alphavirus,alphavirus,Mayaro Fever,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,,,"mansonia venezuelensis,ochlerotatus serratus,psorophora ferox,sabethes,culex,haemagogus janthinomys",,HOST->VECTOR->HUMAN->VECTOR->HUMAN,0,0,10,VIRUS,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HV,YES - Host considered uniform  - pRIMATES,0,no,Y,SPORADIC,100,,,19,,TR,1,SA,2,"PE,VE,TT,SR,GF,BR,BO",,0,,1195513,251980902,-61.412,-1.595571429,7,7,4,4,0,0,100,20,150,150,10,14,Werthiem,,"MAYV has been associated with several small sporadic epidemics of rash-arthritis in South America,particularly in Brazil and Bolivia [192]; ref: https://helda.helsinki.fi/bitstream/handle/10138/35741/sindbisv.pdf?sequence=1",129
99,rickettsia conorii conorii,"ZW,SO,CF,MA,DZ,TN,LY,EG,PT,ES,IT,HR,TR,GR,AL,BA,RS,BG,MK",bacteria,rickettsia,Mediterranean spotted fever,rhipicephalus sanguineus,invert,,,,,HOST->HUMAN,3,3,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cfsph.iastate.edu/Factsheets/pdfs/RMSF.pdf,179
100,monkeypox,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SD",poxviridae,poxviridae,monkeypox,"graphiurus,mus",mammalia,,,,,HOST->HUMAN->HUMAN,5,5,505938.3776,VIRUS,HOST->HUMAN->HUMAN,H,,0,rare,N,SPORADIC,50,505938.3776,0.00145,,505938.3776,TR,1,AF,4,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SD",1958,0.3,XXX,1264397,348923019,3.414409091,8.947,7,21,14,21,5,5,100,0,0,0,0,14,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=monkeypox+%22r0%22&safe=off,,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=monkeypox+%22r0%22&safe=off,134
101,murray valley,"AU,PG",flavivirus ,flavivirus ,Murray Valley Encephalitis,"phalacrocorax,ardea,egretta",aves,,,culex annulirostris,,HOST->VECTOR->HUMAN,5,5,5000,VIRUS,HOST->VECTOR->HUMAN,V_H,VECT - Culex annulirostris,0,no,Y,ENDEMIC,100,5000,0.000246182,,5000,WW,,AU,6,"AU,PG",,0,,768230,20310208,136.189,-24.973,2,7,7,7,5,5,100,1,1500,1500,40,14,http://www.ploscompbiol.org/article/info%3Adoi%2F10.1371%2Fjournal.pcbi.1002104,,8 outbreaks with tens of cases; ref: https://www.mja.com.au/jourl/2012/196/5/murray-valley-encephalitis-review-clinical-features-diagnosis-and-treatmenthttp://www.ploscompbiol.org/article/info%3Adoi%2F10.1371%2Fjourl.pcbi.1002104,139
102,puumala,"ES,IT,DE,BE,NL,DK,NO,SE,FI,PL,LT,LV,EE,KZ,UA,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,TR,MK",hantavirus,hantavirus,Nephropathia epidemica,myodes glareolus,mammalia,,,,,HOST->HUMAN,1,1,20000,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,0.0000442,,20000,TE,2,"EU,AS","3,5","ES,IT,DE,BE,NL,DK,NO,SE,FI,PL,LT,LV,EE,KZ,UA,CZ,SL,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,TR,MK",,0,,777514,452356632,18.23382759,48.08144828,14,14,22,22,1,1,100,0,0,0,0,21,Werthiem,,Werthiem,171
103,nipah,"IN,BD,MY",paramyxoviridae,paramyxoviridae,Nipah virus,pteropus,mammalia,,,,,HOST->HUMAN,75,75,25.45454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.searo.who.int/entity/emerging_diseases/links/nipah_virus_outbreaks_sear/en/,143
104,una,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",alphavirus,alphavirus,None reported,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,humans,human,psorophora ferox,,HOST->VECTOR->HUMAN,0,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: dx.doi.org/10.1590/S0036-46652003000200012; UV antibodies of 3.8% cordoba citizens Argenti,225
105,luxi,CN,hantavirus,hantavirus,None reported,Eothenomys miletus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://virologyj.biomedcentral.com/articles/10.1186/s12985-016-0483-9,122
106,pirital,VE,arenavirus,arenavirus,None reported,sigmodon alstoni,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: Viral Haemorrhagic Fevers By Colin R. Howard,162
107,imjin,KR,hantavirus,hantavirus,None reported,crocidura lasiura,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Gu,SH; Kang,HJ; Baek,LJ; Noh,JY; Kim,HC; Klein,TA; Yagihara,R; Song,JW (2011). ""Genetic diversity of Imjin virus in the Ussuri white-toothed shrew (Crocidura lasiura) in the Republic of Korea,2004-2010"". Virol J 8: 56. doi:10.1186/1743-422X-8-56",90
108,muleshoe,US,hantavirus,hantavirus,None reported,sigmodon hispidus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rerun -error,138
109,prospect hill,US,hantavirus,hantavirus,None reported,microtus pennsylvanicus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://nj.gov/agriculture/divisions/ah/diseases/hantavirus.html,170
110,topografov,RU,hantavirus,hantavirus,None reported,lemmus sibiricus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://nj.gov/agriculture/divisions/ah/diseases/hantavirus.html,220
111,reston,PH,filovirus,filovirus,None reported,cynomolgus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs rerunning - error,174
112,gumbo limbo,US,orthobunyavirus,orthobunyavirus,None reported,sigmodon hispidus,mammalia,,,"culex tritaeniorhynchus,culex",,HOST->VECTOR->HUMAN,0,0,1,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,0,no,Y,ENDEMIC,100,,,,,TR,1,NthA,1,US,,0,,915896,299846449,-98.606,39.622,3,12,5,5,0,0,100,0,0,0,0,14,Werthiem,,Werthiem,83
113,cercopithecine herpes,"AF,DB,CN,IN,LA,MM,VN,JP,TH,PK,NP",lymphocryptovirus,lymphocryptovirus,None reported,macaca,mammalia,,,,,HOST->HUMAN,68,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"None in wild. In UK,US and Canda 31 documented cases of human B virus infection,21 of which led to death. Ref: B Virus | Cause and Incidence"". CDC. July 18,2014. Retrieved October 6,2014.",53
114,azagny,CI,hantavirus,hantavirus,None reported,crocidura obscurior,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Molecular evolution of Azagny virus,a newfound hantavirus harbored by the West African pygmy shrew (Crocidura obscurior) in Côte d'Ivoire",15
115,magboi,SL,hantavirus,hantavirus,None reported,nycteris hispida,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Molecular evolution of Azagny virus,a newfound hantavirus harbored by the West African pygmy shrew (Crocidura obscurior) in Côte d'Ivoire",126
116,sangassou,GN,hantavirus,hantavirus,None reported,hylomyscus alleni,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,1.00E-10,,20000,TR,1,,,GN,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3302504/Werthiem,196
