disease_name_join,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
rift valley fever,mansonia africana,Rift Valley fever,Mansonia africana,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector,field_detection_only,Africa; Rwanda,Mgongoma et al. 2026; Nsengimana et al. 2025,author-designated candidate; review cites isolation,2,normalized_name
rift valley fever,mansonia dyari,Rift Valley fever,Mansonia dyari,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,low measured vector competence,1,normalized_name
rift valley fever,mansonia uniformis,Rift Valley fever,Mansonia uniformis,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector,field_detection_only,Africa; Madagascar; Rwanda,Mgongoma et al. 2026; Nsengimana et al. 2025; Tantely et al. 2015,author-designated candidate; candidate vector; review cites isolation,3,normalized_name
rift valley fever,ochlerotatus caballus,Rift Valley fever,Ochlerotatus caballus,mosquito,unclear,unclear,narrative_review,,yes,,,,Pepin et al. 2010,lab only,1,normalized_name
rift valley fever,ochlerotatus juppi,Rift Valley fever,Ochlerotatus juppi,mosquito,unclear,unclear,narrative_review,,yes,,limited_or_indirect_support,,Pepin et al. 2010,no clear role,1,normalized_name
rift valley fever,psorophora ferox,Rift Valley fever,Psorophora ferox,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,measured vector competence,1,normalized_name
rift valley fever,rhipicephalus appendiculatus,Rift Valley fever,Rhipicephalus appendiculatus,tick,unclear,unclear,narrative_review,,yes,,,,Pepin et al. 2010,lab susceptibility,1,normalized_name
severe fever with thrombocytopenia syndrome sfts,amblyomma testudinarium,Severe fever with thrombocytopenia syndrome (SFTS),Amblyomma testudinarium,tick,competent,competent; unclear,field_detection; systematic_review,yes,yes,primary_vector,field_detection_only,"global; Miyazaki Prefecture, Japan; ROK; Japan; SFTS endemic areas",Casel et al. 2021; Cui et al. 2024; Sato et al. 2021; Wang et al. 2021; Xu et al. 2024,also vector; PCR only; vector capacity not verified; RNA detected in questing ticks; Table 1 PCR only; virus isolated from ticks; intro calls it a primary vector in Japan,5,normalized_name
severe fever with thrombocytopenia syndrome sfts,dermacentor nuttalli,Severe fever with thrombocytopenia syndrome (SFTS),Dermacentor nuttalli,tick,unclear,unclear,field_detection,,yes,,field_detection_only,SFTS endemic areas,Casel et al. 2021,PCR only; vector capacity not verified,1,normalized_name
severe fever with thrombocytopenia syndrome sfts,dermacentor silvarum,Severe fever with thrombocytopenia syndrome (SFTS),Dermacentor silvarum,tick,mixed,mixed; unclear,field_detection; lab_experiment,mixed,yes,,field_detection_only,China,Cui et al. 2024; Hu et al. 2020; Xu et al. 2024,larvae-to-nymph RT-PCR positive but mouse challenge negative; no transovarial or nymph-to-adult transmission; RNA detected in questing ticks,3,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis concinna,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis concinna,tick,unclear,unclear,field_detection,,yes,,field_detection_only,China,Cui et al. 2024; Wang et al. 2021; Xu et al. 2024,RNA detected in questing ticks; Table 1 PCR only,3,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis flava,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis flava,tick,competent,competent; unclear,field_detection; narrative_review; systematic_review,yes,yes,,field_detection_only,"global; Miyazaki Prefecture, Japan; ROK; Japan; SFTS endemic areas",Casel et al. 2021; Cui et al. 2024; Sato et al. 2021; Sun et al. 2024; Wang et al. 2021; Xu et al. 2024,also vector; background-cited transmitter; not tested in this paper; one of the two most common transmission vectors; PCR only; vector capacity not verified; Table 1 PCR only; virus isolated from ticks; potential human vector,6,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis formosensis,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis formosensis,tick,unclear,unclear,field_detection,,yes,maintenance_vector,field_detection_only,"Japan; Miyazaki Prefecture, Japan",Cui et al. 2024; Sato et al. 2021; Wang et al. 2021; Xu et al. 2024,RNA detected in questing ticks; Table 1 PCR only; virus isolated from ticks; maintenance role,4,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis hystricis,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis hystricis,tick,unclear,unclear,field_detection,,yes,candidate_vector,field_detection_only,"Japan; Miyazaki Prefecture, Japan",Cui et al. 2024; Sato et al. 2021; Wang et al. 2021; Xu et al. 2024,RNA detected in questing ticks; Table 1 PCR only; virus isolated from ticks; potential vector,4,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis japonica,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis japonica,tick,unclear,unclear,field_detection,,yes,,field_detection_only,,Cui et al. 2024; Xu et al. 2024,RNA detected in questing ticks,2,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis longicornis,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis longicornis,tick,competent,competent,lab_experiment; narrative_review; systematic_review,yes,yes,candidate_vector|primary_vector,population_dependent,Asia; Asia-Pacific region; China; global,Casel et al. 2021; Cui et al. 2024; Hu et al. 2020; Huang et al. 2020; Sun et al. 2024; Wang et al. 2021; Xu et al. 2024; Zhang et al. 2022,background claim; paper itself only tested microbiome after artificial infection; main transmission vector; virus isolated only from H.longicornis in cited studies; main vector; parthenogenetic and bisexual females both supported local transmission; susceptibility similar between populations; positive control; transovarial and transstadial transmission shown; primary transmission vector; primary vector; review concludes ticks can serve as transmitting vectors; H.longicornis suspected potential vector,8,normalized_name
severe fever with thrombocytopenia syndrome sfts,haemaphysalis megaspinosa,Severe fever with thrombocytopenia syndrome (SFTS),Haemaphysalis megaspinosa,tick,unclear,unclear,field_detection,,yes,maintenance_vector,field_detection_only,"Japan; ROK; Miyazaki Prefecture, Japan",Sato et al. 2021; Wang et al. 2021,Table 1 PCR only; virus isolated from ticks; maintenance role,2,normalized_name
severe fever with thrombocytopenia syndrome sfts,hyalomma asiaticum,Severe fever with thrombocytopenia syndrome (SFTS),Hyalomma asiaticum,tick,unclear,unclear,field_detection,,yes,,field_detection_only,SFTS endemic areas,Casel et al. 2021,PCR only; vector capacity not verified,1,normalized_name
severe fever with thrombocytopenia syndrome sfts,ixodes nipponensis,Severe fever with thrombocytopenia syndrome (SFTS),Ixodes nipponensis,tick,competent,competent; unclear,field_detection; systematic_review,yes,yes,,field_detection_only,global; ROK; SFTS endemic areas,Casel et al. 2021; Cui et al. 2024; Wang et al. 2021; Xu et al. 2024,also vector; PCR only; vector capacity not verified; RNA detected in questing ticks; Table 1 PCR only,4,normalized_name
severe fever with thrombocytopenia syndrome sfts,ixodes persulcatus,Severe fever with thrombocytopenia syndrome (SFTS),Ixodes persulcatus; Ixodes persuleatus,tick,not_competent,not_competent; unclear,field_detection; lab_experiment,no,yes,,field_detection_only|spelling_or_ocr_issue,China,Cui et al. 2024; Hu et al. 2020; Xu et al. 2024,no transovarial or transstadial transmission; mice negative; spelled persuleatus in source; RNA detected in questing ticks,3,manual_map; normalized_name
severe fever with thrombocytopenia syndrome sfts,ixodes sinensis,Severe fever with thrombocytopenia syndrome (SFTS),Ixodes sinensis,tick,competent,competent,lab_experiment; narrative_review; systematic_review,yes,yes,,,central and southern China; China,Cui et al. 2024; Hu et al. 2020; Sun et al. 2024; Wang et al. 2021,also vector; human-feeding note; background-cited transmitter; not tested in this paper; efficient vector; transovarial and horizontal transmission; transovarial and horizontal transmission,4,normalized_name
severe fever with thrombocytopenia syndrome sfts,rhipicephalus microplus,Severe fever with thrombocytopenia syndrome (SFTS),Rhipicephalus microplus,tick,unclear,unclear,field_detection,,yes,,field_detection_only,China; SFTS endemic areas,Casel et al. 2021; Wang et al. 2021,PCR only; vector capacity not verified; Table 1 PCR only,2,normalized_name
tick borne encephalitis,dermacentor marginatus,Tick-borne encephalitis,Dermacentor marginatus,tick,competent,competent,narrative_review,yes,yes,,,Central Europe,Kazimírová et al. 2017; Kwasnik et al. 2023,listed in TBEV transmission table; natural infection and transmission listed in review,2,normalized_name
tick borne encephalitis,dermacentor reticulatus,Tick-borne encephalitis,Dermacentor reticulatus,tick,competent,competent; unclear,field_detection; field_plus_lab; narrative_review,yes,yes,,limited_or_indirect_support,"Central Europe; Europe; northern Saxony, Germany; Poland; southwestern Germany",Biernat et al. 2014; Chitimia-Dobler et al. 2019; Kazimírová et al. 2017; Kwasnik et al. 2023; Ott et al. 2020; Pustijanac et al. 2023,11 positive pools; virus isolated from field ticks; equal role in circulation suggested; field RNA detection only; competence not shown in this paper; natural infection and transmission listed in review; one isolate in field ticks; role still unclear; SAT in review table; significant involvement in transmitting TBEV,6,normalized_name
tick borne encephalitis,haemaphysalis concinna,Tick-borne encephalitis,Haemaphysalis concinna,tick,competent,competent,narrative_review,yes,yes,primary_vector,,Asia; Central Europe,Kwasnik et al. 2023; Mittova et al. 2024; Pustijanac et al. 2023,major vector in Asia; natural infection and transmission listed in review; significant vector,3,normalized_name
tick borne encephalitis,haemaphysalis inermis,Tick-borne encephalitis,Haemaphysalis inermis,tick,competent,competent,narrative_review,yes,,,,,Kwasnik et al. 2023,experimentally proved vector competence,1,normalized_name
tick borne encephalitis,haemaphysalis punctata,Tick-borne encephalitis,Haemaphysalis punctate,tick,competent,competent,narrative_review,yes,yes,,spelling_or_ocr_issue,Central Europe,Kwasnik et al. 2023,source spelling follows PDF; natural infection and transmission listed in review,1,manual_map
tick borne encephalitis,ixodes arboricola,Tick-borne encephalitis,Ixodes arboricola,tick,competent,competent,narrative_review,yes,yes,,,Central Europe,Kwasnik et al. 2023,natural infection and transmission listed in review,1,normalized_name
tick borne encephalitis,ixodes gibbosus,Tick-borne encephalitis,Ixodes gibbosus,tick,unclear,unclear,narrative_review,,,,,Mediterranean region,Kwasnik et al. 2023,marginal vector in the Mediterranean region,1,normalized_name
tick borne encephalitis,ixodes hexagonus,Tick-borne encephalitis,Ixodes hexagonus,tick,competent,competent,narrative_review,yes,yes,,,Central Europe,Kwasnik et al. 2023,natural infection and transmission listed in review,1,normalized_name
tick borne encephalitis,ixodes persulcatus,Tick-borne encephalitis,Ixodes persulcatus,tick,competent,competent; unclear,field_detection; lab_experiment; narrative_review,yes,yes,primary_vector,,"nontropical Eurasia; parts of the Baltic States, Finland, Russia, and Siberia; Russia; Russia and Asia; Simo, Finnish Lapland, Finland; widespread, including central Europe, Scandinavia and the UK",Belova et al. 2023; Jääskeläinen et al. 2011; Kazimírová et al. 2017; Korenberg 2000; Kwasnik et al. 2023; Mittova et al. 2024; Petit et al. 2024; Pustijanac et al. 2023,6 of 51 tick pools positive for TBEV RNA; experimental acquisition and trans-stadial transmission in parental species; listed as TBEV vector in review table; main vector in Russia and Asia; principal vector; principal vector of TBEV; principal vector; natural infections reported in review; principal vector; NVT in review table,8,normalized_name
tick borne encephalitis,ixodes ricinus,Tick-borne encephalitis,Ixodes ricinus,tick,competent,competent; unclear,field_detection; lab_experiment; narrative_review,yes,yes,primary_vector,field_detection_only|strain_dependent,"central, northern, and eastern Europe; Europe; Finland; nontropical Eurasia; northern Saxony, Germany; Odenwald Hills, southwestern Germany; Russia; widespread, including central Europe, Scandinavia and the UK",Belova et al. 2023; Chitimia-Dobler et al. 2019; Jääskeläinen et al. 2011; Kazimírová et al. 2017; Korenberg 2000; Kwasnik et al. 2023; Mittova et al. 2024; Ott et al. 2020; Petit et al. 2024; Pustijanac et al. 2023,2 positive nymph pools; common vector in source background; experimental acquisition and trans-stadial transmission in parental species; field prevalence only; background calls it the main vector; main vector in Europe; primary vector; principal vector; principal vector of TBEV; principal vector; natural infections reported in review; principal vector; SAT and NVT in review table; source states the European subtype main vector is I. ricinus,10,normalized_name
tick borne encephalitis,ixodes ricinus x ixodes persulcatus hybrids,Tick-borne encephalitis,Ixodes ricinus x Ixodes persulcatus hybrids,tick,competent,competent,lab_experiment,yes,,,strain_dependent,Russia,Belova et al. 2023,hybrid generation from I. persulcatus female x I. ricinus male; highest acquisition in Siberian subtype,1,normalized_name
tick borne encephalitis,ixodes scapularis,Tick-borne encephalitis,Ixodes scapularis,tick,unclear,unclear,narrative_review,yes,,,,,Kazimírová et al. 2017,SAT and host immunomodulation only; not described as a natural vector,1,normalized_name
venezuelan equine encephalitis,aedes angustivittatus,Venezuelan equine encephalitis,Aedes (Ochlerotatus) angustivittatus,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,Colombia,Torres et al. 2017,found infected with VEEV,1,rule_drop_subgenus_token
venezuelan equine encephalitis,aedes fulvus,Venezuelan equine encephalitis,Aedes (Ochlerotatus) fulvus,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,susceptible to VEE,1,rule_drop_subgenus_token
venezuelan equine encephalitis,aedes scapularis,Venezuelan equine encephalitis,Aedes (Ochlerotatus) scapularis,mosquito,competent,competent,narrative_review,yes,,,,,Torres et al. 2017,incriminated in outbreaks,1,rule_drop_subgenus_token
venezuelan equine encephalitis,aedes serratus,Venezuelan equine encephalitis,Aedes (Ochlerotatus) serratus,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,susceptible to VEE,1,rule_drop_subgenus_token
venezuelan equine encephalitis,aedes taeniorhynchus,Venezuelan equine encephalitis,Aedes taeniorhynchus,mosquito,competent,competent,narrative_review,yes,,epizootic_vector|primary_vector,,,Torres et al. 2017,dominant epizootic vector,1,normalized_name
venezuelan equine encephalitis,anopheles pseudopunctipennis,Venezuelan equine encephalitis,Anopheles pseudopunctipennis,mosquito,unclear,unclear,field_detection,,yes,,strain_dependent,,Torres et al. 2017,subtypes IC and IAB isolated,1,normalized_name
venezuelan equine encephalitis,coquillettidia venezuelensis,Venezuelan equine encephalitis,Coquillettidia venezuelensis,mosquito,competent,competent,narrative_review,yes,,,,,Torres et al. 2017,vector of VEE,1,normalized_name
venezuelan equine encephalitis,culex adamesi,Venezuelan equine encephalitis,Culex (Melanoconion) adamesi; Culex adamesi,mosquito,competent,competent; unclear,field_detection; field_plus_lab; narrative_review,yes,yes,secondary_vector,field_detection_only|strain_dependent,Colombia; Monte San Miguel Forest; middle Magdalena Valley; Colombia,Ferro et al. 2003; Sloyer et al. 2022; Torres et al. 2017,confirmed or suspected vector list; found infected with subtype ID; secondary vector,3,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex aikenii sensu lato,Venezuelan equine encephalitis,Culex (Melanoconion) aikenii s.l.,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only|strain_dependent,Panama,Torres et al. 2017,found infected with VEEV subtype ID; ocossa and panocossa complex,1,manual_map
venezuelan equine encephalitis,culex cedecei,Venezuelan equine encephalitis,Culex (Melanoconion) cedecei; Culex cedecei,mosquito,competent,competent; unclear,narrative_review,yes,,,strain_dependent,Florida; USA; Southern Florida; USA,Ferro et al. 2003; Sloyer et al. 2022,confirmed or suspected vector list; endemic to Florida; transmits Everglades virus subtype II,2,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex cedeci,Venezuelan equine encephalitis,Culex (Melanoconion) cedeci,mosquito,competent,competent,narrative_review,yes,,,spelling_or_ocr_issue|strain_dependent,Southern Florida; USA,Torres et al. 2017,transmits subtype II; spelling in source likely cedecei,1,rule_drop_subgenus_token
venezuelan equine encephalitis,culex crybda,Venezuelan equine encephalitis,Culex (Melanoconion) crybda,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,reported VEEV vector,1,rule_drop_subgenus_token
venezuelan equine encephalitis,culex declarator,Venezuelan equine encephalitis,Culex (Culex) declarator,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,reported VEEV vector,1,rule_repeated_genus
venezuelan equine encephalitis,culex delpontei,Venezuelan equine encephalitis,Culex delpontei,mosquito,unclear,unclear,narrative_review,,,,,,Sloyer et al. 2022,confirmed or suspected vector list,1,normalized_name
venezuelan equine encephalitis,culex dunni,Venezuelan equine encephalitis,Culex (Melanoconion) dunni,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,reported VEEV vector,1,rule_drop_subgenus_token
venezuelan equine encephalitis,culex erraticus,Venezuelan equine encephalitis,Culex (Melanoconion) erraticus,mosquito,unclear,unclear,field_detection,,yes,,,Lake Bayano; Panama,Torres et al. 2017,VEEV isolate,1,rule_drop_subgenus_token
venezuelan equine encephalitis,culex gnomatos,Venezuelan equine encephalitis,Culex gnomatos,mosquito,unclear,unclear,narrative_review,,,,,,Sloyer et al. 2022,confirmed or suspected vector list,1,normalized_name
venezuelan equine encephalitis,culex nigripalpus,Venezuelan equine encephalitis,Culex (Culex) nigripalpus,mosquito,unclear,unclear,narrative_review,,,,,,Torres et al. 2017,reported VEEV vector,1,rule_repeated_genus
venezuelan equine encephalitis,culex ocossa,Venezuelan equine encephalitis,Culex (Melanoconion) ocossa; Culex ocossa,mosquito,unclear,unclear,field_detection; narrative_review,,yes,,,Lake Bayano; Panama,Sloyer et al. 2022; Torres et al. 2017,confirmed or suspected vector list; VEEV isolate; source text also spells this as occosa,2,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex panocossa,Venezuelan equine encephalitis,Culex panocossa,mosquito,competent,competent,narrative_review,yes,,,,peninsular Florida; USA,Sloyer et al. 2022,vector of VEEV-ID,1,normalized_name
venezuelan equine encephalitis,culex pedroi,Venezuelan equine encephalitis,Culex (Melanoconion) pedroi; Culex pedroi,mosquito,competent,competent; unclear,field_detection; field_plus_lab; narrative_review,yes,yes,primary_vector,field_detection_only|strain_dependent,Colombia; Monte San Miguel Forest; middle Magdalena Valley; Colombia,Ferro et al. 2003; Sloyer et al. 2022; Torres et al. 2017,confirmed or suspected vector list; found infected with subtype ID; principal vector,3,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex portesi,Venezuelan equine encephalitis,Culex (Melanoconion) portesi,mosquito,competent,competent,narrative_review,yes,,,strain_dependent,Trinidad,Ferro et al. 2003; Torres et al. 2017,transmits Mucambo virus subtype IIIA; transmits subtype IIIA,2,rule_drop_subgenus_token
venezuelan equine encephalitis,culex spissipes,Venezuelan equine encephalitis,Culex (Melanoconion) spissipes; Culex spissipes,mosquito,unclear,unclear,narrative_review,,,,,,Sloyer et al. 2022; Torres et al. 2017,confirmed or suspected vector list; reported VEEV vector,2,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex taeniopus,Venezuelan equine encephalitis,Culex (Melanoconion) taeniopus; Culex taeniopus,mosquito,competent,competent; unclear,lab_experiment; narrative_review,yes,,enzootic_vector|primary_vector,strain_dependent,Guatemala; Panama; Guatemala,Ferro et al. 2003; Forrester et al. 2012; Sloyer et al. 2022; Torres et al. 2017,"confirmed or suspected vector list; main vector in Guatemala; natural enzootic vector; bottlenecks during infection, escape, and transmission; primary enzootic vector of subtype IE",4,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,culex vomerifer,Venezuelan equine encephalitis,Culex (Melanoconion) vomerifer; Culex vomerifer,mosquito,competent,competent; unclear,field_detection; field_plus_lab; narrative_review,yes,yes,primary_vector,,Monte San Miguel Forest; middle Magdalena Valley; Colombia; Panama; Peru; Colombia,Ferro et al. 2003; Sloyer et al. 2022; Torres et al. 2017,confirmed or suspected vector list; infected or susceptible in prior studies; principal vector,3,normalized_name; rule_drop_subgenus_token
venezuelan equine encephalitis,mansonia dyari,Venezuelan equine encephalitis,Mansonia dyari,mosquito,unclear,unclear,field_detection,,yes,,strain_dependent,Lake Bayano; Panama,Torres et al. 2017,subtypes IC and IAB isolated,1,normalized_name
venezuelan equine encephalitis,mansonia indubitans,Venezuelan equine encephalitis,Mansonia indubitans,mosquito,unclear,unclear,field_detection,,yes,,strain_dependent,,Torres et al. 2017,subtypes IC and IAB isolated,1,normalized_name
venezuelan equine encephalitis,mansonia titillans,Venezuelan equine encephalitis,Mansonia titillans,mosquito,unclear,unclear,field_detection,,yes,,strain_dependent,,Torres et al. 2017,subtypes IC and IAB isolated,1,normalized_name
venezuelan equine encephalitis,ochlerotatus detritus,Venezuelan equine encephalitis,Ochlerotatus detritus,mosquito,unclear,unclear,lab_experiment,yes,,,no_transmission_demonstrated,Wirral Peninsula; northwest England; UK,Chapman et al. 2020,salivary RNA only; transmission potential not infectious virus,1,normalized_name
venezuelan equine encephalitis,psorophora albipes,Venezuelan equine encephalitis,Psorophora albipes,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,,Torres et al. 2017,VEEV isolated,1,normalized_name
venezuelan equine encephalitis,psorophora confinnis,Venezuelan equine encephalitis,Psorophora confinnis,mosquito,competent,competent,narrative_review,yes,,epizootic_vector|primary_vector,,,Torres et al. 2017,dominant epizootic vector,1,normalized_name
venezuelan equine encephalitis,psorophora ferox,Venezuelan equine encephalitis,Psorophora ferox,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,,Torres et al. 2017,VEEV isolated,1,normalized_name
west nile fever,aedes albopictus,West Nile fever,Ae. albopictus; Aedes albopictus,mosquito,competent,competent,lab_experiment; narrative_review,yes,,,,Europe; northeastern France; Spain; Italy,Hernández-Triana et al. 2014; Martinet et al. 2023; Vogels et al. 2017,competent; field relevance likely low in Europe; laboratory studies show competent vector; transmits WNV and to a lesser extent USUV,3,normalized_name; rule_expand_genus_abbreviation
west nile fever,aedes alternans,West Nile fever,Aedes alternans,mosquito,unclear,unclear,narrative_review,,,secondary_vector,,Australia,Jansen et al. 2013,WNVKUN isolate; secondary vector,1,normalized_name
west nile fever,aedes caspius,West Nile fever,Aedes caspius,mosquito,not_competent,not_competent; unclear,narrative_review; systematic_review,no,,,mixed_or_debated_evidence|no_transmission_demonstrated,Europe; France,Ferraguti 2024; Martinet et al. 2019; Vogels et al. 2017,natural infection; competence debated; not competent; susceptible to infection but not able to transmit,3,normalized_name
west nile fever,aedes detritus,West Nile fever,Aedes detritus,mosquito,competent,competent,narrative_review; systematic_review,yes,,,,United Kingdom,Martinet et al. 2019; Vogels et al. 2017,competence demonstrated; competent,2,normalized_name
west nile fever,aedes geniculatus,West Nile fever,Aedes geniculatus,mosquito,competent,competent,systematic_review,yes,,,,Europe,Martinet et al. 2019,tested competent for WNV,1,normalized_name
west nile fever,aedes japonicus japonicus,West Nile fever,Aedes japonicus japonicus,mosquito,not_competent,not_competent,narrative_review; systematic_review,no,,,no_infection_detected,Germany,Martinet et al. 2019; Vogels et al. 2017,could not be infected nor transmit WNV; not competent,2,normalized_name
west nile fever,aedes normanensis,West Nile fever,Aedes normanensis,mosquito,unclear,unclear,narrative_review,,,secondary_vector,,Australia,Jansen et al. 2013,WNVKUN isolate; secondary vector,1,normalized_name
west nile fever,aedes notoscriptus,West Nile fever,Aedes notoscriptus,mosquito,unclear,unclear,narrative_review,,,bridge_vector|candidate_vector,,Australia,Jansen et al. 2013,bridge vector candidate,1,normalized_name
west nile fever,aedes rusticus,West Nile fever,Ae. rusticus,mosquito,competent,competent,lab_experiment,yes,,candidate_vector,,northeastern France,Martinet et al. 2023,new putative vector; transmitted from 7 dpi,1,rule_expand_genus_abbreviation
west nile fever,aedes spp,West Nile fever,Aedes spp.,mosquito,unclear,unclear,narrative_review,,,,,global,Gray and Webb 2014,lab only; ecological barriers likely limit outbreak importance,1,normalized_name
west nile fever,aedes vexans,West Nile fever,Aedes vexans,mosquito,competent,competent,lab_experiment,yes,,secondary_vector,,California USA,Goddard et al. 2002,secondary role possible,1,normalized_name
west nile fever,aedes vigilax,West Nile fever,Aedes vigilax,mosquito,unclear,unclear,narrative_review,,,bridge_vector|candidate_vector,,Australia,Jansen et al. 2013,bridge vector candidate,1,normalized_name
west nile fever,anopheles amictus,West Nile fever,Anopheles amictus,mosquito,unclear,unclear,narrative_review,,,,,Australia,Jansen et al. 2013,WNVKUN isolate,1,normalized_name
west nile fever,anopheles plumbeus,West Nile fever,An. plumbeus; Anopheles plumbeus,mosquito,mixed,competent; not_competent,lab_experiment; systematic_review,mixed,,,limited_or_indirect_support|no_transmission_demonstrated,Europe; northeastern France,Martinet et al. 2019; Martinet et al. 2023,infected but did not transmit WNV; tested competent; role uncertain,2,normalized_name; rule_expand_genus_abbreviation
west nile fever,culex annulirostris,West Nile fever,Cx. annulirostris,mosquito,competent,competent,narrative_review,yes,,primary_vector,,Australia,Jansen et al. 2013,primary vector; most competent for exotic WNVNY-99,1,rule_expand_genus_abbreviation
west nile fever,culex australicus,West Nile fever,Cx. australicus,mosquito,unclear,unclear,narrative_review,,,candidate_vector,,Australia,Jansen et al. 2013,WNVKUN isolate; potential vector,1,rule_expand_genus_abbreviation
west nile fever,culex erythrothorax,West Nile fever,Cx. erythrothorax,mosquito,competent,competent,lab_experiment,yes,,bridge_vector,,California USA,Goddard et al. 2002,bridge potential and moderate transmission,1,rule_expand_genus_abbreviation
west nile fever,culex gelidus,West Nile fever,Cx. gelidus,mosquito,competent,competent,narrative_review,yes,,,,northern Australia,Jansen et al. 2013,highly efficient laboratory vector,1,rule_expand_genus_abbreviation
west nile fever,culex modestus,West Nile fever,Culex modestus,mosquito,competent,competent; unclear,narrative_review; systematic_review,yes,,primary_vector,field_detection_only,Europe; France,Bellini et al. 2014; Engler et al. 2013; Ferraguti 2024; Gray and Webb 2014; Martinet et al. 2019; Vogels et al. 2017,efficient vector; important vector species; WNV-positive pools; locally important vector; primary WNV vector in Europe; regional role; field-collected species; vector incriminated; high transmission rates,6,normalized_name
west nile fever,culex perexiguus,West Nile fever,Culex perexiguus,mosquito,competent,competent; unclear,narrative_review,yes,,primary_vector,field_detection_only,Europe; Spain,Engler et al. 2013; Ferraguti 2024,primary WNV vector in Europe; WNV-positive pools,2,normalized_name
west nile fever,culex pipiens,West Nile fever,Culex pipiens; Cx. pipiens,mosquito,mixed,competent; mixed; unclear,lab_experiment; narrative_review,mixed,,primary_vector,field_detection_only|population_dependent,Europe; northeastern France,Engler et al. 2013; Ferraguti 2024; Martinet et al. 2023,important vector species; WNV-positive pools; primary WNV vector in Europe; some populations transmitted WNV; Maine and Verzy did not,3,normalized_name; rule_expand_genus_abbreviation
west nile fever,culex pipiens biotype molestus,West Nile fever,Culex pipiens biotype molestus; Culex pipiens molestus,mosquito,mixed,competent; mixed,narrative_review; systematic_review,mixed,,,mixed_or_debated_evidence|strain_dependent|temperature_dependent,France; The Netherlands; Switzerland; Germany; The Netherlands,Martinet et al. 2019; Vogels et al. 2017,competent for lineages 1 and 2; temperature dependent; transmission varies,2,manual_map; normalized_name
west nile fever,culex pipiens biotype pipiens,West Nile fever,Culex pipiens biotype pipiens; Cx. p. pipiens,mosquito,competent,competent,lab_experiment; systematic_review,yes,,,strain_dependent,California USA; France; The Netherlands; Switzerland; Germany,Goddard et al. 2002; Martinet et al. 2019,competent for lineages 1 and 2; highly efficient laboratory vector,2,manual_map; normalized_name
west nile fever,culex pipiens biotype pipiens x biotype molestus,West Nile fever,Culex pipiens Hybrid (pipiens x molestus),mosquito,mixed,mixed,narrative_review,mixed,,,mixed_or_debated_evidence|temperature_dependent,The Netherlands,Vogels et al. 2017,temperature dependent; transmission varies,1,manual_map
west nile fever,culex pipiens pipiens,West Nile fever,Culex pipiens pipiens,mosquito,mixed,mixed,narrative_review,mixed,,,mixed_or_debated_evidence|temperature_dependent,The Netherlands; Italy,Vogels et al. 2017,temperature dependent; transmission varies,1,normalized_name
west nile fever,culex pipiens quinquefasciatus,West Nile fever,Cx. p. quinquefasciatus,mosquito,mixed,mixed,lab_experiment,mixed,,,population_dependent,California USA,Goddard et al. 2002,geographic variation; Bakersfield higher than Coachella Valley and Orange County,1,manual_map
